class,support,precision,recall,f1
0,342,0.084,0.044,0.058
1,317,0.058,0.019,0.029
2,323,0.061,0.08,0.07
3,342,0.035,0.401,0.065
4,317,0.055,0.035,0.043
5,319,0.053,0.038,0.044
6,299,0.2,0.003,0.007
7,313,0.054,0.096,0.069
8,335,0.062,0.006,0.011
9,336,0.046,0.074,0.057
A,356,0.0,0.0,0.0
B,323,0.027,0.012,0.017
C,334,0.044,0.072,0.055
D,340,0.068,0.026,0.038
E,314,0.028,0.057,0.037
F,316,0.065,0.032,0.043
G,324,0.059,0.012,0.02
H,353,0.052,0.02,0.029
I,353,0.044,0.028,0.034
J,329,0.048,0.036,0.041
K,354,0.057,0.028,0.038
L,356,0.067,0.062,0.064
M,325,0.118,0.114,0.116
N,357,0.062,0.017,0.026
O,348,0.05,0.014,0.022
P,318,0.039,0.006,0.011
Q,333,0.049,0.012,0.019
R,299,0.02,0.003,0.006
S,343,0.04,0.064,0.049
T,361,0.065,0.039,0.049
U,325,0.081,0.046,0.059
V,348,0.04,0.02,0.027
W,373,0.127,0.062,0.083
X,316,0.056,0.032,0.04
Y,351,0.0,0.0,0.0
Z,318,0.052,0.132,0.075
